State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Bihar,LAKHISARAI,Arhar/Tur,2009,Kharif     ,184.0,323.0,1.76
Uttar Pradesh,BAHRAICH,Maize,1999,Rabi       ,346.0,501.0,1.45
Chhattisgarh,BASTAR,Bajra,2001,Whole Year ,96.0,4474.0,46.6
Madhya Pradesh,HOSHANGABAD,Sesamum,1999,Kharif     ,544.0,170.0,0.31
Uttarakhand,UTTAR KASHI,Other  Rabi pulses,2002,Rabi       ,13.0,6.0,0.46
Manipur,TAMENGLONG,Maize,2012,Kharif     ,1100.0,2250.0,2.05
Tamil Nadu,KARUR,Tapioca,2004,Whole Year ,1752.0,72301.0,41.27
Odisha,GAJAPATI,Sugarcane,2010,Winter     ,152.0,9705.0,63.85
Karnataka,BENGALURU URBAN,Maize,2011,Summer     ,125.0,426.0,3.41
Assam,BARPETA,Mesta,2000,Kharif     ,103.0,526.0,5.11
Punjab,MANSA,Rapeseed &Mustard,2007,Rabi       ,2000.0,2000.0,1.0
Tamil Nadu,KARUR,Other  Rabi pulses,2019,Rabi       ,1074.0,537.0,0.5
Punjab,SANGRUR,Gram,2018,Rabi       ,100.0,100.0,1.0
Rajasthan,SAWAI MADHOPUR,Onion,2012,Whole Year ,201.0,804.0,4.0
Assam,DHEMAJI,Rice,2003,Autumn     ,12577.0,10108.0,0.8
Maharashtra,YAVATMAL,Soyabean,2015,Kharif     ,293100.0,140900.0,0.48
Andhra Pradesh,ADILABAD,Moong(Green Gram),2010,Rabi       ,2428.0,1255.0,0.52
Gujarat,RAJKOT,Groundnut,2005,Kharif     ,381200.0,811100.0,2.13
Madhya Pradesh,REWA,Urad,2018,Kharif     ,32824.0,19366.0,0.59
Uttar Pradesh,KANPUR DEHAT,Maize,2010,Kharif     ,11763.0,14516.0,1.23
